"card_id","customer_id","card_number","expiry_date","is_active"
2001,2001,"7000-2458-6907-6445","2027-01-20",True
2002,2002,"7000-3817-8525-8445","2028-02-16",True
2003,2003,"7000-8975-2038-4671","2027-09-28",True
2004,2004,"7000-7898-5502-6162","2026-08-03",True
2005,2005,"7000-9393-6189-9056","2029-02-15",True
2006,2006,"7000-8625-6189-1916","2028-03-05",True
2007,2007,"7000-7107-6334-8227","2027-06-07",True
2008,2008,"7000-1607-2468-6873","2028-03-12",True
2009,2009,"7000-3377-4699-5467","2027-03-08",True
2010,2010,"7000-4921-6249-4461","2028-07-16",True
2011,2011,"7000-5480-3861-2943","2026-07-20",True
2012,2012,"7000-8289-7168-3334","2026-07-15",True
2013,2013,"7000-7561-1162-8974","2028-09-07",True
2014,2014,"7000-3094-6199-8604","2027-12-18",True
2015,2015,"7000-4314-2324-2233","2027-06-13",True
2016,2016,"7000-1702-8957-6178","2028-05-12",True
2017,2017,"7000-3638-1768-1350","2026-04-20",True
2018,2018,"7000-1350-5457-2071","2028-04-23",True
2019,2019,"7000-5174-2890-7057","2027-10-12",True
2020,2020,"7000-2872-1857-9088","2028-11-23",True
2021,2021,"7000-7214-6487-1648","2027-01-19",True
2022,2022,"7000-7888-5074-5302","2028-03-09",True
2023,2023,"7000-6808-1572-3220","2027-11-28",True
2024,2024,"7000-1691-6175-5359","2028-12-12",True
2025,2025,"7000-9010-8071-9938","2028-04-13",True
2026,2026,"7000-3939-4145-9768","2026-04-19",True
2027,2027,"7000-9146-1285-9253","2028-06-11",True
2028,2028,"7000-2467-2974-6952","2027-07-08",True
2029,2029,"7000-8621-2508-6847","2026-06-13",True
2030,2030,"7000-2946-7993-3044","2028-06-22",True
2031,2031,"7000-1313-2956-5890","2027-08-25",True
2032,2032,"7000-7879-9058-1124","2027-08-22",True
2033,2033,"7000-9798-2948-3019","2028-04-08",True
2034,2034,"7000-3443-2468-7809","2028-12-10",True
2035,2035,"7000-1735-9342-3371","2026-04-04",True
2036,2036,"7000-9960-9482-6924","2027-12-10",True
2037,2037,"7000-1484-6385-8893","2028-10-29",True
2038,2038,"7000-4389-3943-1240","2027-04-03",True
2039,2039,"7000-4717-5443-1098","2027-02-12",True
2040,2040,"7000-5051-6738-9146","2027-03-17",True
2041,2041,"7000-5063-8589-4426","2026-09-18",True
2042,2042,"7000-2010-8831-6468","2028-12-28",True
2043,2043,"7000-5059-7647-1381","2026-07-25",True
2044,2044,"7000-6853-7124-8536","2027-11-24",True
2045,2045,"7000-9568-3074-8619","2027-03-01",True
2046,2046,"7000-6434-1717-2063","2027-01-12",True
2047,2047,"7000-4580-6034-7294","2028-07-08",True
2048,2048,"7000-7022-9970-6332","2028-06-03",True
2049,2049,"7000-5789-1125-9005","2026-11-22",True
2050,2050,"7000-1648-3419-8702","2027-03-06",True
2051,2051,"7000-5630-4439-8879","2028-08-24",True
2052,2052,"7000-5936-4692-4446","2027-08-11",True
2053,2053,"7000-8531-4139-8450","2029-01-12",True
2054,2054,"7000-8558-7587-3511","2026-04-13",True
2055,2055,"7000-7959-5203-9207","2028-02-14",True
2056,2056,"7000-4565-9874-5864","2026-08-20",True
2057,2057,"7000-3487-5818-7917","2026-05-19",True
2058,2058,"7000-8209-7643-7718","2026-04-03",True
2059,2059,"7000-9514-3738-9062","2028-11-06",True
2060,2060,"7000-3597-1849-2063","2026-06-01",True
2061,2061,"7000-9433-4958-7063","2026-11-20",True
2062,2062,"7000-6414-3163-2615","2026-07-21",True
2063,2063,"7000-5044-6312-6231","2029-02-11",True
2064,2064,"7000-4224-5462-8535","2028-03-29",True
2065,2065,"7000-7745-2883-7791","2028-01-03",True
2066,2066,"7000-1368-3023-5960","2028-12-31",True
2067,2067,"7000-5570-5692-4669","2027-01-29",True
2068,2068,"7000-7260-1004-4712","2028-01-27",True
2069,2069,"7000-6439-6770-8156","2027-07-06",True
2070,2070,"7000-4996-8906-4320","2029-03-04",True
2071,2071,"7000-5116-4534-4042","2028-07-25",True
2072,2072,"7000-9495-5483-5869","2028-10-15",True
2073,2073,"7000-4214-8401-3228","2026-09-20",True
2074,2074,"7000-1104-9980-5998","2026-07-09",True
2075,2075,"7000-3251-7680-5395","2029-02-03",True
2076,2076,"7000-7445-4736-1831","2026-06-02",True
2077,2077,"7000-9221-9096-2812","2028-04-04",True
2078,2078,"7000-4574-3844-4517","2029-02-13",True
2079,2079,"7000-5324-5744-7947","2027-12-26",True
2080,2080,"7000-2901-9050-3523","2029-01-12",True
2081,2081,"7000-8536-1865-6146","2027-12-25",True
2082,2082,"7000-1195-7073-4833","2026-07-27",True
2083,2083,"7000-5473-1635-1286","2028-03-06",True
2084,2084,"7000-6961-3270-8708","2026-10-21",True
2085,2085,"7000-2544-4024-1955","2028-06-04",True
2086,2086,"7000-8861-2940-5736","2028-07-31",True
2087,2087,"7000-4765-7911-4439","2026-12-09",True
2088,2088,"7000-5425-5589-6471","2027-07-27",True
2089,2089,"7000-4722-1827-1484","2027-02-06",True
2090,2090,"7000-8209-1147-5109","2027-03-12",True
